Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Houston Garden Center|Parks and Recreation|Azalea Room (Out after 7:00 pm week days Non- Profit)|32-69(a)|103.23|100||Y||40544|6|1||105.72|105.7296|2.49|0.024120895|||||
Houston Garden Center|Parks and Recreation|Azalea Room (Out by 7:00 pm week days Commercial)|32-69(a)|123.87|120||Y||40544|6|1||126.86|126.8693|2.99|0.024138209|||||
Houston Garden Center|Parks and Recreation|Azalea Room (Out by 7:00 pm week days Non- Profit)|32-69(a)|87.74|85||Y||40544|6|1||89.86|89.8645|2.12|0.024162298|||||
Houston Garden Center|Parks and Recreation|Azalea Room (weekend Commercial)|32-69(a)|144.52|140||Y||40544|6|1||148.01|148.0194|3.49|0.024148907|||||
Houston Garden Center|Parks and Recreation|Azalea Room (weekend Non- Profit)|32-69(a)|103.23|100||Y||40544|6|1||105.72|105.7296|2.49|0.024120895|||||
Houston Garden Center|Parks and Recreation|Building Clean Up|32-69(a)|36.13|35||Y|||6|1||37|37.0048|0.87|0.024079712|||||
Houston Garden Center|Parks and Recreation|Circle - West Side (3 hour minimum)|32-69(a)|51.61|50||Y||40544|6|1||52.85|52.8596|1.24|0.024026351|||||
Houston Garden Center|Parks and Recreation|Gazebo - East Side (3 hour minimum)|32-69(a)|51.61|50||Y||40544|6|1||52.85|52.8596|1.24|0.024026351|||||
Houston Garden Center|Parks and Recreation|Kitchen|32-69(a)|10.32|10||Y|||6|1||10.56|10.5698|0.24|0.023255814|||||
Houston Garden Center|Parks and Recreation|Room Clean Up|32-69(a)|15.48|15||Y|||6|1||15.85|15.8548|0.37|0.023901809|||||
Houston Garden Center|Parks and Recreation|Rose Room (each additional Hour or Fracation weekend Commercial)|32-69(a)|20.64|20||Y||40544|6|1||21.13|21.1397|0.49|0.02374031|||||
Houston Garden Center|Parks and Recreation|Rose Room (each additional Hour or Fracation weekend Non- Profit)|32-69(a)|15.48|15||Y||40544|6|1||15.85|15.8548|0.37|0.023901809|||||
Houston Garden Center|Parks and Recreation|Rose Room (each additional Hour or Fraction week days Commercial)|32-69(a)|20.64|20||Y||40544|6|1||21.13|21.1397|0.49|0.02374031|||||
Houston Garden Center|Parks and Recreation|Rose Room (each additional Hour or Fraction week days Non- Profit)|32-69(a)|15.48|15||Y||40544|6|1||15.85|15.8548|0.37|0.023901809|||||
Houston Garden Center|Parks and Recreation|Rose Room (Out after 7:00 pm week days Commercial)|32-69(a)|113.55|110||Y||40544|6|1||116.29|116.2994|2.74|0.024130339|||||
Houston Garden Center|Parks and Recreation|Rose Room (Out after 7:00 pm week days Non- Profit)|32-69(a)|82.58|80||Y||40544|6|1||84.57|84.5795|1.99|0.024097845|||||
Houston Garden Center|Parks and Recreation|Rose Room (Out by 7:00 pm week days Commercial)|32-69(a)|92.9|90||Y||40544|6|1||95.14|95.1494|2.24|0.024111948|||||
Houston Garden Center|Parks and Recreation|Rose Room (Out by 7:00 pm week days Non- Profit)|32-69(a)|67.09|65||Y||40544|6|1||68.71|68.7145|1.62|0.024146669|||||
Houston Garden Center|Parks and Recreation|Rose Room (weekend Commercial)|32-69(a)|113.55|110||Y||40544|6|1||116.29|116.2994|2.74|0.024130339|||||
Houston Garden Center|Parks and Recreation|Rose Room (weekend Non- Profit)|32-69(a)|82.58|80||Y||40544|6|1||84.57|84.5795|1.99|0.024097845|||||
Kingwood Community Center|Parks and Recreation|Auditorium - Full |32-69(a)|700|||Y||40544|6|1||716.94||||||||
Kingwood Community Center|Parks and Recreation|Auditorium - Full (each additional Hour or Fracation  Non- Profit)|32-69(a)|175|||Y||40544|6|1||179.23||||||||
Kingwood Community Center|Parks and Recreation|Auditorium  - Full (each additional Hour or Fraction Commercial)|32-69(a)|175|||Y||40544|6|1||179.23||||||||
Kingwood Community Center|Parks and Recreation|Auditorium - Half|32-69(a)|350|||Y||40544|6|1||358.47||||||||
Kingwood Community Center|Parks and Recreation|Auditorium - Half   (each additional Hour or Fracation  Non- Profit)|32-69(a)|50|||Y||40544|6|1||51.21||||||||
Kingwood Community Center|Parks and Recreation|Auditorium  - Half (each additional Hour or Fraction Commercial)|32-69(a)|50|||Y||40544|6|1||51.21||||||||
Kingwood Community Center|Parks and Recreation|Commercial Kitchen|32-69(a)|250|||Y||40544|6|1||256.05||||||||
Kingwood Community Center|Parks and Recreation|Commercial Kitchen  (each additional Hour or Fraction Commercial)|32-69(a)|100|||Y||40544|6|1||102.42||||||||
Kingwood Community Center|Parks and Recreation|Meeting Room (up to 30 people)|32-69(a)|55|||Y||40544|6|1||56.33||||||||
Kingwood Community Center|Parks and Recreation|Meeting Room (each additional Hour or Fraction Commercial)|32-69(a)|15|||Y||40544|6|1||15.36||||||||
Kingwood Community Center|Parks and Recreation|Meeting Room (30+ persons)|32-69(a)|70|||Y||40544|6|1||71.69||||||||
Kingwood Community Center|Parks and Recreation|Meeting Room (30+ persons)  additional Hour or Fraction Commercial)|32-69(a)|15|||Y||40544|6|1||15.36||||||||
Kingwood Community Center|Parks and Recreation|Servery (3 hours)|32-69(a)|25|||Y||40544|6|1||25.6||||||||
Kingwood Community Center|Parks and Recreation|Servery (each additional Hour or Fracation  Non- Profit)|32-69(a)|15|||Y||40544|6|1||15.36||||||||
Kingwood Community Center|Parks and Recreation|Auditorium (Full) - Clean Up/Set-up|32-69(a)|150|||Y||40544|6|1||153.63||||||||
Kingwood Community Center|Parks and Recreation|Auditorium (Half) - Clean Up/Set-up|32-69(a)|75|||Y||40544|6|1||76.81||||||||
Kingwood Community Center|Parks and Recreation|Meeting Room - Clean Up/Set-up|32-69(a)|25|||Y||40544|6|1||25.6||||||||
Lake Houston|Parks and Recreation|3-day - Day Camp - $45.00 per person|32-69(a)|45|45||Y||40544|6|4||45|45|0|0|||||
Lake Houston|Parks and Recreation|5-day - Day Camp - $60.00 per person|32-69(a)|60|60||Y||40544|6|4||60|60|0|0|||||
Lake Houston|Parks and Recreation|Family Annual Pass - $25 per pass (allows 4 people per visit, unlimited use for 1 year)|32-69(a)|25|25||Y||40544|6|4||25|25|0|0|||||
Lake Houston|Parks and Recreation|Family Outdoor Wilderness Adventure Program - $60 per family of 6 |32-69(a)|60|60||Y||40544|6|4||60|60|0|0|||||
Lake Houston|Parks and Recreation|Forest Cottage - $132.50 per night (including hotel tax of $7.50)|32-69(a)|132.5|132.5||Y||40544|6|4||132.5|132.5|0|0|||||
Lake Houston|Parks and Recreation|Group Campsite - $40.00 per night|32-69(a)|40|40||Y||40544|6|4||40|40|0|0|||||
Lake Houston|Parks and Recreation|Group Pass - $60 per pass (allows 50 people per visit, unlimited use for 1 year)|32-69(a)|60|60||Y||40544|6|4||60|60|0|0|||||
Lake Houston|Parks and Recreation|Hunter Education - $15.00 per person (State Mandated Rate)|32-69(a)|15|15||Y||40544|6|3||15|15|0|0|||||
Lake Houston|Parks and Recreation|Lazy Creek Lodge - $169.60 per night (including hotel tax of $9.60)|32-69(a)|169.6|169.6||Y||40544|6|4||169.6|169.6|0|0|||||
Lake Houston|Parks and Recreation|Park Entry Fee - $3.00 per person per day (ages 13 - 65)|32-69(a)|3|3||Y||40544|6|4||3|3|0|0|||||
Lake Houston|Parks and Recreation|Pine Grove Dining Hall - $100.00 per day|32-69(a)|100|100||Y||40544|6|4||100|100|0|0|||||
Lake Houston|Parks and Recreation|Screen Shelter - $26.50 per night (including hotel tax of $1.50)|32-69(a)|26.5|26.5||Y||40544|6|4||26.5|26.5|0|0|||||
Lake Houston|Parks and Recreation|Tent Campsite - $7.00 per night|32-69(a)|7|7||Y||40544|6|4||7|7|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Junior |Motion No. 90-1569|2|2||Y||40544|6|4||2|2|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Premium Reserved|Motion No. 90-1569|6|6||Y||40544|6|4||6|6|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Premium Walk-on|Motion No. 90-1569|5.5|5.5||Y||40544|6|4||5.5|5.5|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Standard, Reserved|Motion No. 90-1569|4|4||Y||40544|6|4||4|4|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Standard, Walk-on|Motion No. 90-1569|3.5|3.5||Y||40544|6|4||3.5|3.5|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Tournament/League Weekdays after 6:00pm|Motion No. 90-1569|6.5|6.5||Y||40544|6|4||6.5|6.5|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Tournament/League Weekdays before 6:00pm|Motion No. 90-1569|4.5|4.5||Y||40544|6|4||4.5|4.5|0|0|||||
Lee LeClear Tennis Center|Parks and Recreation|Tournament/League Weekends/Holidays|Motion No. 90-1569|7|7||Y||40544|6|4||7|7|0|0|||||
Melrose Golf|Parks and Recreation|Friday - Sunday & Holidays|Motion 2010-0385|12|12||Y||40544|6|4||12|12|0|0|||||
Melrose Golf|Parks and Recreation|Junior (Mon.-Thu Only)|Motion 2010-0385|6|6||Y||40544|6|4||6|6|0|0|||||
Melrose Golf|Parks and Recreation|Monday - Thursday|Motion 2010-0385|10|10||Y||40544|6|4||10|10|0|0|||||
Melrose Golf|Parks and Recreation|Night|Motion 2010-0385|11|11||Y||40544|6|4||11|11|0|0|||||
Melrose Golf|Parks and Recreation|Senior/Disabled (Mon-Thu)|Motion 2010-0385|6|6||Y||40544|6|4||6|6|0|0|||||
Memorial Golf|Parks and Recreation|Friday - Sunday & Holidays|Motion 2010-0385|38|38||Y||40544|6|4||38|38|0|0|||||
Memorial Golf|Parks and Recreation|Fri-Sun & Holiday Twilight|Motion 2010-0385|28|28||Y||40544|6|4||28|28|0|0|||||
Memorial Golf|Parks and Recreation|Junior (Mon.-Thu Only)|Motion 2010-0385|10|10||Y||40544|6|4||10|10|0|0|||||
Memorial Golf|Parks and Recreation|Monday - Thursday|Motion 2010-0385|30|30||Y||40544|6|4||30|30|0|0|||||
Memorial Golf|Parks and Recreation|Monday-Thursday Twilight|Motion 2010-0385|21|21||Y||40544|6|4||21|21|0|0|||||
Memorial Golf|Parks and Recreation|Senior/Disabled (Mon-Thu)|Motion 2010-0385|15|15||Y||40544|6|4||15|15|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Junior |Motion No. 90-1569|2|2||Y||40544|6|4||2|2|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Premium Reserved|Motion No. 90-1569|6|6||Y||40544|6|4||6|6|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Premium Walk-on|Motion No. 90-1569|5.5|5.5||Y||40544|6|4||5.5|5.5|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Standard, Reserved|Motion No. 90-1569|4|4||Y||40544|6|4||4|4|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Standard, Walk-on|Motion No. 90-1569|3.5|3.5||Y||40544|6|4||3.5|3.5|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Tournament/League Weekdays after 6:00pm|Motion No. 90-1569|6.5|6.5||Y||40544|6|4||6.5|6.5|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Tournament/League Weekdays before 6:00pm|Motion No. 90-1569|4.5|4.5||Y||40544|6|4||4.5|4.5|0|0|||||
Memorial Park Tennis Center|Parks and Recreation|Tournament/League Weekends/Holidays|Motion No. 90-1569|7|7||Y||40544|6|4||7|7|0|0|||||
Permits & Reservations|Parks and Recreation|3-month Food & Bevage (Commercial)|32-225|154.84|150||Y||40544|1|1||158.58|158.5892|3.74|0.024153965|||||
Permits & Reservations|Parks and Recreation|3-month Food & Bevage (Non- Profit)|32-225|154.84|150||Y||40544|1|1||158.58|158.5892|3.74|0.024153965|||||
Permits & Reservations|Parks and Recreation|Alcoholic Beverages (Commercial)|32-225|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Permits & Reservations|Parks and Recreation|Alcoholic Beverages (Non- Profit)|32-225|92.9|90||Y||40544|1|1||95.14|95.1494|2.24|0.024111948|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""2"" Ballfield after 7 pm Standard"|32-69(a)|$12.38/hr.|$12/hr.||Y||40544|1|1||$12.67/hr.|#VALUE!|0.38|0.031666667|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""2"" Ballfield after 7 pm Youth"|32-69(a)|$8.25/hr.|$8/hr.||Y||40544|1|1||$8.44/hr.|#VALUE!|0.25|0.03125|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""2"" Ballfield before 7 pm Standard"|32-69(a)|$8.25/hr.|$8/hr.||Y||40544|1|1||$8.44/hr.|#VALUE!|0.25|0.03125|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""2"" Ballfield before 7 pm Youth"|32-69(a)|$4.12/hr.|$4/hr.||Y||40544|1|1||$4.21/hr.|#VALUE!|0.12|0.03|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""3"" Ballfield after 7 pm Standard"|32-69(a)|$10.32/hr.|$10/hr.||Y||40544|1|1||$10.56/hr.|#VALUE!|0.32|0.032|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""3"" Ballfield after 7 pm Youth"|32-69(a)|$6.19/hr.|$6/hr.||Y||40544|1|1||$6.33/hr.|#VALUE!|0.19|0.031666667|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""3"" Ballfield before 7 pm Standard"|32-69(a)|$6.19/hr.|$6/hr.||Y||40544|1|1||$6.33/hr.|#VALUE!|0.19|0.031666667|||||
Permits & Reservations|Parks and Recreation|"All Sports Fields Level ""3"" Ballfield before 7 pm Youth"|32-69(a)|$2.06/hr.|$2/hr.||Y||40544|1|1||$2.10/hr.|#VALUE!|0.06|0.03|||||
Permits & Reservations|Parks and Recreation|Art Park (* 90 Day Permit)|32-69(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Permits & Reservations|Parks and Recreation|Ballfield Admission|32-69c|10.32% of Gate|10% of Gate||Y||40544|1|1||10.57% of Gate|#VALUE!|0.3200% of Gate|0.32% of Gate|||||
Permits & Reservations|Parks and Recreation|"Baseball/Softball, Level ""1"" Ballfield after  7pm Standard"|32-69(a)|$20.64/hr.|$20/hr.||Y||40544|1|1||$21.13/hr.|#VALUE!|0.64|0.032|||||
Permits & Reservations|Parks and Recreation|"Baseball/Softball, Level ""1"" Ballfield after  7pm Youth"|32-69(a)|$10.32/hr.|$10/hr.||Y||40544|1|1||$10.56/hr.|#VALUE!|0.32|0.032|||||
Permits & Reservations|Parks and Recreation|"Baseball/Softball, Level ""1"" Ballfield before 7pm Standard"|32-69(a)|$12.38/hr.|$12/hr.||Y||40544|1|1||$12.67/hr.|#VALUE!|0.38|0.031666667|||||
Permits & Reservations|Parks and Recreation|"Baseball/Softball, Level ""1"" Ballfield before 7pm Youth"|32-69(a)|$6.19/hr.|$6/hr.||Y||40544|1|1||$6.33/hr.|#VALUE!|0.19|0.031666667|||||
Permits & Reservations|Parks and Recreation|Child's Birthday (3 hours)|32-69(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Permits & Reservations|Parks and Recreation|Exhibit Only (No Sales)|32-69(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Permits & Reservations|Parks and Recreation|Exhibit w/Product Giveaway|32-69(a)|30.96|30||Y||40544|1|1||31.7|31.7096|0.74|0.023901809|||||
Permits & Reservations|Parks and Recreation|Filing Fee (6-months)|32-69(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Permits & Reservations|Parks and Recreation|Filming|32-69(a)|118.71|115||Y||40544|1|1||121.58|121.5844|2.87|0.024176565|||||
Permits & Reservations|Parks and Recreation|Food and Beverage (Non- Profit)|32-225|41.29|40||Y||40544|1|1||42.28|42.2897|0.99|0.02397675|||||
Permits & Reservations|Parks and Recreation|Food and Beverage Commercial|32-225|51.61|50||Y||40544|1|1||52.85|52.8596|1.24|0.024026351|||||
Permits & Reservations|Parks and Recreation|"Football/Soccer/Rugby Level ""1"" Ballfield after 7 pm Standard"|32-69(a)|$16.51/hr.|$16/hr.||Y||40544|1|1||$16.90/hr.|#VALUE!|0.51|0.031875|||||
Permits & Reservations|Parks and Recreation|"Football/Soccer/Rugby Level ""1"" Ballfield after 7 pm Youth"|32-69(a)|$10.32/hr.|$10/hr.||Y||40544|1|1||$10.56/hr.|#VALUE!|0.32|0.032|||||
Permits & Reservations|Parks and Recreation|"Football/Soccer/Rugby Level ""1"" Ballfield before 7 pm Standard"|32-69(a)|$10.32/hr.|$10/hr.||Y||40544|1|1||$10.56/hr.|#VALUE!|0.32|0.032|||||
Permits & Reservations|Parks and Recreation|"Football/Soccer/Rugby Level ""1"" Ballfield before 7 pm Youth"|32-69(a)|$6.19/hr.|$6/hr.||Y||40544|1|1||$6.33/hr.|#VALUE!|0.19|0.031666667|||||
Permits & Reservations|Parks and Recreation|Leisure Programs|32-69(a)|10.32% of Gross Revenue|10% of Gross Revenue||Y||40544|1|1||10.57% of Gross Revenue|#VALUE!|0.3200% of Gross Revenue|0.32% of Gross Revenue|||||
Permits & Reservations|Parks and Recreation|Motorized Food Vendor (6-months)|32-241(a)(2)|412.92|400||Y||40544|1|1||422.91|422.9184|9.99|0.024193548|||||
Permits & Reservations|Parks and Recreation|Nolvety Vendor /Weekdays|32-69(a)|10.32|10||Y||40544|1|1||10.56|10.5698|0.24|0.023255814|||||
Permits & Reservations|Parks and Recreation|Nolvety Vendor /Weekends & Holidays|32-69(a)|15.48|15||Y||40544|1|1||15.85|15.8548|0.37|0.023901809|||||
Permits & Reservations|Parks and Recreation|Non-Food Sales (Commercial)|32-225|36.13|35||Y||40544|1|1||37|37.0048|0.87|0.024079712|||||
Permits & Reservations|Parks and Recreation|Non-Food Sales (Non- Profit)|32-225|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 1000-2000 Commerical)|32-69(a)|815.51|790||Y||40544|1|1||835.25|835.2567|19.74|0.024205712|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 1000-2000 Non- Profit)|32-69(a)|541.95|525||Y||40544|1|1||555.07|555.0727|13.12|0.024208875|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 1-125 Commerical)|32-69(a)|118.71|115||Y||40544|1|1||121.58|121.5844|2.87|0.024176565|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 1-125 Non- Profit)|32-69(a)|77.42|75||Y||40544|1|1||79.29|79.2946|1.87|0.024153965|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 125-250 Commerical)|32-69(a)|309.69|300||Y||40544|1|1||317.18|317.1888|7.49|0.024185476|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 125-250 Non- Profit)|32-69(a)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 2000-4000 Commerical)|32-69(a)|929.07|900||Y||40544|1|1||951.56|951.5665|22.49|0.024207003|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 2000-4000 Non- Profit)|32-69(a)|619.38|600||Y||40544|1|1||634.37|634.3776|14.99|0.024201621|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 250-500 Commerical)|32-69(a)|505.82|490||Y||40544|1|1||518.06|518.0679|12.24|0.024198331|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 250-500 Non- Profit)|32-69(a)|335.49|325||Y||40544|1|1||343.61|343.6135|8.12|0.024203404|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 500-1000 Commerical)|32-69(a)|696.8|675||Y||40544|1|1||713.67|713.6723|16.87|0.024210677|||||
Permits & Reservations|Parks and Recreation|Pavilion (Participants 500-1000 Non- Profit)|32-69(a)|464.53|450||Y||40544|1|1||475.77|475.7781|11.24|0.0241965|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 1000-2000 Commerical)|32-69(a)|815.51|790||Y||40544|1|1||835.25|835.2567|19.74|0.024205712|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 1000-2000 Non- Profit)|32-69(a)|541.95|525||Y||40544|1|1||555.07|555.0727|13.12|0.024208875|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 1-125 Commerical)|32-69(a)|118.71|115||Y||40544|1|1||121.58|121.5844|2.87|0.024176565|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 1-125 Non- Profit)|32-69(a)|77.42|75||Y||40544|1|1||79.29|79.2946|1.87|0.024153965|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 125-250 Commerical)|32-69(a)|309.69|300||Y||40544|1|1||317.18|317.1888|7.49|0.024185476|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 125-250 Non- Profit)|32-69(a)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 2000-4000 Commerical)|32-69(a)|929.07|900||Y||40544|1|1||951.56|951.5665|22.49|0.024207003|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 2000-4000 Non- Profit)|32-69(a)|619.38|600||Y||40544|1|1||634.37|634.3776|14.99|0.024201621|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 250-500 Commerical)|32-69(a)|505.82|490||Y||40544|1|1||518.06|518.0679|12.24|0.024198331|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 250-500 Non- Profit)|32-69(a)|335.49|325||Y||40544|1|1||343.61|343.6135|8.12|0.024203404|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 500-1000 Commerical)|32-69(a)|696.8|675||Y||40544|1|1||713.67|713.6723|16.87|0.024210677|||||
Permits & Reservations|Parks and Recreation|Picnics (Participants 500-1000 Non- Profit)|32-69(a)|464.53|450||Y||40544|1|1||475.77|475.7781|11.24|0.0241965|||||
Permits & Reservations|Parks and Recreation|Rally / Demonstration|32-69(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Permits & Reservations|Parks and Recreation|Weddings|32-69(a)|77.42|75||Y||40544|1|1||79.29|79.2946|1.87|0.024153965|||||
Protection of Certain Trees|Parks and Recreation|Street tree replacement requirement contribution, per caliper inch of tree removed - over 6 inch up to 12 inch caliper|33-160(a)(2)|387.11|375||Y|N||6- Fee/Mitigation|1||396.48|396.4834|9.37|0.024205006|||||
Protection of Certain Trees|Parks and Recreation|Street tree replacement requirement contribution, per caliper inch of tree removed - parkway tree over 12 inch caliper|33-160(a)(2)|516.15|500||Y|N||6- Fee/Mitigation|1||528.64|528.648|12.49|0.024198392|||||
Protection of Certain Trees|Parks and Recreation|Street tree replacement requirement contribution, per caliper inch of tree removed - tree up to 6 inch caliper|33-160(a)(2)|232.26|225||Y|N||6- Fee/Mitigation|1||237.88|237.8839|5.62|0.024197021|||||
Sharpstown Golf|Parks and Recreation|Friday - Sunday & Holidays|Motion 2010-0385|26|26||Y||40544|6|4||26|26|0|0|||||
Sharpstown Golf|Parks and Recreation|Fri-Sun & Holiday Twilight|Motion 2010-0385|20|20||Y||40544|6|4||20|20|0|0|||||
Sharpstown Golf|Parks and Recreation|Fri-Sun & Holiday Twilight 2|Motion 2010-0385|16|16||Y||40544|6|4||16|16|0|0|||||
Sharpstown Golf|Parks and Recreation|Junior (Mon.-Thu Only)|Motion 2010-0385|8|8||Y||40544|6|4||8|8|0|0|||||
Sharpstown Golf|Parks and Recreation|Monday - Thursday|Motion 2010-0385|18|18||Y||40544|6|4||18|18|0|0|||||
Sharpstown Golf|Parks and Recreation|Monday-Thursday Twilight|Motion 2010-0385|15|15||Y||40544|6|4||15|15|0|0|||||
Sharpstown Golf|Parks and Recreation|Monday-Thursday Twilight 2|Motion 2010-0385|13|13||Y||40544|6|4||13|13|0|0|||||
Sharpstown Golf|Parks and Recreation|Senior/Disabled (Mon-Thu)|Motion 2010-0385|13|13||Y||40544|6|4||13|13|0|0|||||
SUBDIVISIONS:  Parks and private parks|Parks and Recreation|Fees in lieu of land dedication, per dwelling unit|42-253(c)|700|700|||||4|6||700|700|0|0|||||
Swimming Pools|Parks and Recreation|Rental Fee|43-38(a)|$29.93/hr.|$29/hr.|||||6|1||$30.65/hr.|#VALUE!|0.93|0.032068966|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Issuance of certification of occupancy - fee for assigned certificate of deposit|33-133(b)|103.23|100||Y||40544|6|1||105.72|105.7296|2.49|0.024120895|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Landscape plan; protected parkway tree replacement requirement contribution, per caliper inch of parkway tree removed - parkway tree over 6 inch up to 12 inch caliper|33-122(c)(2)a|387.11|375|||||6|1||396.48|396.4834|9.37|0.024205006|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Landscape plan; protected parkway tree replacement requirement contribution, per caliper inch of parkway tree removed - parkway tree up to 6 inch caliper|33-122(c)(2)a|232.26|225|||||6|1||237.88|237.8839|5.62|0.024197021|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Landscape plan; protected tree replacement requirement contribution, per caliper inch of tree removed - corridor tree or green corridor tree|33-122(c)(2)a|106.32|103|||||6|1||108.89|108.8944|2.57|0.02417231|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Landscape plan; protected tree replacement requirement contribution, per caliper inch of tree removed - parkway tree over 12 inch caliper|33-122(c)(2)a|516.15|500|||||6|1||528.64|528.648|12.49|0.024198392|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Protected parkway tree replacement requirement contribution, per caliper inch of parkway tree removed - parkway tree over 6 inch up to 12 inch caliper|33-105(b)(2)a|387.11|375|||||6|1||396.48|396.4834|9.37|0.024205006|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Protected parkway tree replacement requirement contribution, per caliper inch of parkway tree removed - parkway tree up to 6 inch caliper|33-105(b)(2)a|232.26|225|||||6|1||237.88|237.8839|5.62|0.024197021|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Protected tree replacement requirement contribution, per caliper inch of tree removed - corridor tree or green corridor tree|33-105(b)(2)b|106.32|103|||||6|1||108.89|108.8944|2.57|0.02417231|||||
Trees, Shrubs and Screening Fences|Parks and Recreation|Protected tree replacement requirement contribution, per caliper inch of tree removed - parkway tree over 12 inch caliper|33-105(b)(2)a|516.15|500|||||6|1||528.64|528.648|12.49|0.024198392|||||
Wortham Golf|Parks and Recreation|Friday - Sunday & Holidays|Motion 2010-0385|23|23||Y||40544|6|4||23|23|0|0|||||
Wortham Golf|Parks and Recreation|Fri-Sun & Holiday Twilight|Motion 2010-0385|17|17||Y||40544|6|4||17|17|0|0|||||
Wortham Golf|Parks and Recreation|Fri-Sun & Holiday Twilight 2|Motion 2010-0385|13|13||Y||40544|6|4||13|13|0|0|||||
Wortham Golf|Parks and Recreation|Junior (Mon.-Thu Only)|Motion 2010-0385|7|7||Y||40544|6|4||7|7|0|0|||||
Wortham Golf|Parks and Recreation|Monday - Thursday|Motion 2010-0385|16|16||Y||40544|6|4||16|16|0|0|||||
