Name/Type,Responsible Department,Permit/Fee Name and Description,Statutory Authority ," Fees As of Dec. 31, 2012 ","Fees As of
June 30, 2011","Fees As of April 1, 2012",Notes,Sec. 1-13 Increase Applies?,Sec. 1-14 Admin Fee Applies?,Increase Date,6 Dept. Assignment,"7 Dept. Assignment
",DECIMAL NOTES for PWE,"Fee As Jan 1, 2013",CPI increase 1.024214%in format #.####,Variance,% change,1.024214,PWE SEQUENCE Request,NOTE,Sequence Key,Change
Aviation-  License,Houston Airport System,Heliport license,09-318(a)," 1,500.00 ","$1,500.00",,,Y,,1-Jan,2,4,,"$1,500.00","1,500.0000",$0.00,0.00%,,,,,
Aviation-  License,Houston Airport System,Helistop license,09-318(b)," 1,250.00 ","$1,250.00",,,Y,,1-Jan,2,4,,"$1,250.00","1,250.0000",$0.00,0.00%,,,,,
Aviation-  License,Houston Airport System,Temporary heliport license,09-318(d), 200.00 ,$200.00,,,Y,,1-Jan,2,4,,$200.00,200.0000,$0.00,0.00%,,,,,
Aviation-  License,Houston Airport System,Temporary helistop license,09-318(d), 100.00 ,$100.00,,,Y,,1-Jan,2,4,,$100.00,100.0000,$0.00,0.00%,,,,,
Aviation Inspection,Houston Airport System,"Heliport or helistop inspection, annually",09-318(c)," 1,000.00 ","$1,000.00",,,Y,,1-Jan,3,4,,"$1,000.00","1,000.0000",$0.00,0.00%,,,,,
Landing Fees,Houston Airport System,"Landing fees at EFD, per thousand pounds of FAA maximum certified gross landing weight, MAXIMUM",09-162(1)b, 1.50 ,$1.50,,Rate to be established by the director,,,,6-landing,2,,$1.50,1.5000,$0.00,0.00%,,,,,
Landing Fees,Houston Airport System,"Landing fees at EFD, per thousand pounds of FAA maximum certified gross landing weight, MINIMUM",09-162(1)b, 0.50 ,$0.50,,Rate to be established by the director,,,,6-landing,2,,$0.50,0.5000,$0.00,0.00%,,,,,
Landing Fees,Houston Airport System,Landing fees at HOU and IAH,09-162(1)a," Rate established anually,
see www.fly2houston.com for current rate ","Rate established anually,
see www.fly2houston.com for current rate",,Rate established from time to time for that airport in the city contracts applicable to signatory scheduled commercial airlines.,N,,N/A,6-landing,2,,"Rate established anually,
see www.fly2houston.com for current rate","Rate established anually,
see www.fly2houston.com for current rate",$0.00,0.00%,,,,,
Landing Fees,Houston Airport System,"Landing fees at HOU and IAH, Administative Fee",09-162(1)a, Fee not to exceed 25 percent of landing fees in this provision as established by the director to recover the city's costs of billing and collection of the fees and other administrative expenses ,Fee not to exceed 25 percent of landing fees in this provision as established by the director to recover the city's costs of billing and collection of the fees and other administrative expenses,,Fee not to exceed 25 percent of landing fees in this provision as established by the director to recover the city's costs of billing and collection of the fees and other administrative expenses,N,,N/A,6-landing,2,,Fee not to exceed 25 percent of landing fees in this provision as established by the director to recover the city's costs of billing and collection of the fees and other administrative expenses,Fee not to exceed 25 percent of landing fees in this provision as established by the director to recover the city's costs of billing and collection of the fees and other administrative expenses,$0.00,0.00%,,,,,
Landing Fees,Houston Airport System,"Minimum landing fee, any airport, regardless of weight, per landing",09-162(1)d, 25.00 ,$25.00,,,,,,6-landing,2,,$25.00,25.0000,$0.00,0.00%,,,,,
Oil and Gas Wells,Houston Airport System,"Explore for, drill for, mine, produce, store, refine or process oil, gas and other petroleum products ",09-224, 250.00 ,$250.00,,Same fees as in Chapter 31,,,,1,3,,$250.00,250.0000,$0.00,0.00%,,,,,
Rental,Houston Airport System,Use of common areas at Terminal D and the FIS,09-166(a)," Rate established anually,
see www.fly2houston.com for current rate ","Rate established anually,
see www.fly2houston.com for current rate",,Set in the international facilities agreement ,N,N,N/A,6-Rental,2,,"Rate established anually,
see www.fly2houston.com for current rate","Rate established anually,
see www.fly2houston.com for current rate",$0.00,0.00%,,,,,
Rental,Houston Airport System,Use of exclusive/preferential areas at IAH Terminals A and D,"09-165
09-166"," Rate established anually,
see www.fly2houston.com for current rate ","Rate established anually,
see www.fly2houston.com for current rate",,,N,N,N/A,6-Rental,2,,"Rate established anually,
see www.fly2houston.com for current rate","Rate established anually,
see www.fly2houston.com for current rate",$0.00,0.00%,,,,,
Rental,Houston Airport System,Use of exclusive/preferential terminal/concourse areas at HOU,09-165," Rate established anually,
see www.fly2houston.com for current rate ","Rate established anually,
see www.fly2houston.com for current rate",,,N,N,N/A,6-Rental,2,,"Rate established anually,
see www.fly2houston.com for current rate","Rate established anually,
see www.fly2houston.com for current rate",$0.00,0.00%,,,,,
Security Access Control & ID Badging,Houston Airport System,1st instance of lost/stolen/unaccounted badge,9.91, 100.00 , $100.00 ,,Procedures issued by the director section 9-91.,,,,6,4,,$100.00,100.0000,$0.00,0.00%,,,,,
Security Access Control & ID Badging,Houston Airport System,2nd instance of lost/stolen/unaccounted badge,9.91, 150.00 , $150.00 ,,Procedures issued by the director section 9-91.,,,,6,4,,$150.00,150.0000,$0.00,0.00%,,,,,
Security Access Control & ID Badging,Houston Airport System,3rd instance of lost/stolen/unaccounted badge,9.91, 200.00 , $200.00 ,,Procedures issued by the director section 9-91.,,,,6,4,,$200.00,200.0000,$0.00,0.00%,,,,,
Security Access Control & ID Badging,Houston Airport System,Badge issue/replacemnet fee (card only),9.91, 16.00 , $16.00 ,,Procedures issued by the director section 9-91.,,,,6,4,,$16.00,16.0000,$0.00,0.00%,,,,,
Security Access Control & ID Badging,Houston Airport System,Fingerprint fee per card-printed card issued to individual,9.91, 10.00 , $10.00 ,,Procedures issued by the director section 9-91.,,,,6,4,,$10.00,10.0000,$0.00,0.00%,,,,,
Security Access Control & ID Badging,Houston Airport System,Fingerprint fee- w/out using HAS SON Number,9.91, 10.00 , $10.00 ,,Procedures issued by the director section 9-91.,,,,6,4,,$10.00,10.0000,$0.00,0.00%,,,,,
Security Access Control & ID Badging,Houston Airport System,Fingerprint fee-using HAS SON number,9.91, 39.00 , $39.00 ,,Procedures issued by the director section 9-91.,,,,6,4,,$39.00,39.0000,$0.00,0.00%,,,,,
Library Patron Service,Library,Patron convenience services - laptop use (in library only) - replacement,24-8(b), Item Cost ,Item Cost,,Amounts established from time to time by motion duly adopted by city council,Y,N,NO,5,4,,Item Cost,Item Cost,$0.00,0.00%,,,,,
Lost Library Item,Library,Replacement/lost item fee,24-7(c), Item Cost ,Item Cost,,Set by director pursuant to Sec. 24-8(a),Y,N,NO,5,4,,Item Cost,Item Cost,$0.00,0.00%,,,,,
Meeting Room Rental,Library,Meeting Room Rentals- Varies by location.,24-8, Contact 832-393-1359 for fee amount , Contact 832-393-1359 for fee amount ,,Amounts established from time to time by motion duly adopted by city council.,,,,5,6,,Contact 832-393-1359 for fee amount,Contact 832-393-1359 for fee amount,$0.00,0.00%,,,,,
Passport Acceptance Fee,Library,Passport Acceptance Fee,24-8(a), 25.00 , $25.00 ,,Amounts established from time to time by motion duly adopted by city council.,,,,5,6,,$25.00,25.0000,$0.00,0.00%,,,,,
Patron Convenience Services,Library,"Civil overdue fees, per day - Adult items",24-7(a), 0.20 ,$0.20,,Set by director pursuant to Sec. 24-8(a),Y,N,NO,5,6,,$0.20,0.2000,$0.00,0.00%,,,,,
Patron Convenience Services,Library,"Civil overdue fees, per day - Juvenile items",24-7(a), 0.10 ,$0.10,,Set by director pursuant to Sec. 24-8(a),Y,N,NO,5,6,,$0.10,0.1000,$0.00,0.00%,,,,,
Patron Convenience Services,Library,"Civil overdue fees, per day - Non-circulating items",24-7(a), 1.00 ,$1.00,,Set by director pursuant to Sec. 24-8(a),Y,N,NO,5,6,,$1.00,1.0000,$0.00,0.00%,,,,,
Patron Convenience Services,Library,"Civil overdue fees, per day - Young adult items",24-7(a), 0.20 ,$0.20,,Set by director pursuant to Sec. 24-8(a),Y,N,NO,5,6,,$0.20,0.2000,$0.00,0.00%,,,,,
Patron Convenience Services,Library,Civil overdue fees - per hour or portion therof. laptop use (in library only) - ,24-7(c), 25.00 ,$25.00,,Amounts established from time to time by motion duly adopted by city council,Y,N,NO,5,6,,$25.00,25.0000,$0.00,0.00%,,,,,
Patron Convenience Services,Library,"Patron convenience services - Nonresident library card, one year",24-8(b), 40.00 ,$40.00,,Amounts established from time to time by motion duly adopted by city council,Y,N,NO,5,6,,$40.00,40.0000,$0.00,0.00%,,,,,
Patron Convenience Services,Library,"Patron convenience services - Nonresident library card, six months",24-8(b), 20.00 ,$20.00,,Amounts established from time to time by motion duly adopted by city council,Y,N,NO,5,6,,$20.00,20.0000,$0.00,0.00%,,,,,
Patron Convenient Services,Library,Replacement Card Fee,24-8(b), 1.00 , $1.00 ,,Amounts established from time to time by motion duly adopted by city council.,,,,5,6,,$1.00,1.0000,$0.00,0.00%,,,,,
Processing fee for lost items,Library,"Replacement processing fee, computer laptop ",24-7(c), 150.00 ,$150.00,,Amounts established from time to time by motion duly adopted by city council,Y,N,NO,5,6,,$150.00,150.0000,$0.00,0.00%,,,,,
Processing fee for lost items,Library,"Replacement  processing fee, per uncataloged item",24-7(c), 5.00 ,$5.00,,Set by director pursuant to Sec. 24-8(a),Y,N,NO,5,6,,$5.00,5.0000,$0.00,0.00%,,,,,
Processing fee for lost items,Library,"Replacement processing fee, per cataloged item",24-7(c), 10.00 ,$10.00,,Set by director pursuant to Sec. 24-8(a),Y,N,NO,5,2,,$10.00,10.0000,$0.00,0.00%,,,,,
Special Events,Mayor Office,Application processing fee,25-5(b), 51.61 ,$50.00,,Set by Ord. No. 2010-911,Y,N,1-Jan,1,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Special Events,Mayor Office,Parade application fee,25-105(e), 258.07 ,$250.00,,Set by Ord. No. 2010-911,Y,,1-Jan,1,1,,$264.31,264.3189,$6.24,2.42%,,,,,
Special Events,Mayor Office,"Parade security and traffic control services, per additional intersection over 12.",25-102(f)(2)," 1,032.30 ","$1,000.00",,Set by Ord. No. 2010-911,Y,,1-Jan,1,1,,"$1,057.29","1,057.2961",$24.99,2.42%,,,,,
Special Events,Mayor Office,Street function application fee,25-60(e), 51.61 ,$50.00,,Set by Ord. No. 2010-911,Y,,1-Jan,1,1,,$52.85,52.8596,$1.24,2.40%,,,"Add on fee
Jul 2012",,
Accident Report Fee,Municipal Courts Department,Accident Report Fee,Transportation code. Chapter 550.065, 6.00 ,$6.00,,,N,,N/A,6,3,,$6.00,6.0000,$0.00,0.00%,,,"Add on fee
Jul 2012",,
Certified Clearance Letter,Municipal Courts Department,Certified Clearance Letter,02-97, 20.00 ,$20.00,,,N,,N/A,6,6,,$20.00,20.0000,$0.00,0.00%,,,,,
Certified Copy Fee (Support),Municipal Courts Department,"Certified copies of reports, records -  each additional page",02-96, 1.70 ,$1.70,,,Y,,,5,3,,$1.70,1.7000,$0.00,0.00%,,,,,
Certified Copy Fee (Support),Municipal Courts Department,"Certified copies of reports, records - first page",02-96, 3.40 ,$3.40,,,Y,,,5,3,,$3.40,3.4000,$0.00,0.00%,,,,,
Check Return Fee,Municipal Courts Department,Check Return Fee,02-139(a)(2), 24.00 ,$24.00,,"Per Business and Commerce Code Sec. 3.506 (b) Processing Fee for Holder of Payment Device - the holder to seek collection of the face value of dishonored payment device may charge the drawer or indorser a reasonable fee of not more than $30. (80% of $30 = $24)
Recommendation for Council approval to raise the fee to the amount alloable by statute, which is $30. [MCD].","N 
up to maximum of $30.",N,1-Jan,6,3,,$24.00,24.0000,$0.00,0.00%,,,,,
CIR Fee,Municipal Courts Department,Court Information Request Related Fee,02-98," $0.75/copy,   ",$0.75/copy  ,,"TPIA related fees are very specific and outlined in the statute. Changes to these fees require amendments to the law by the Texas Legislature.
",N,,N/A,6,3,,"$0.75/copy,  ","$0.75/copy,  ",$0.00,0.00%,,,,,
CIR Fee,Municipal Courts Department,Court Information Request Related Fee,Texas Government Code- Chapter 552 ,  $28.50/ hr. programming costs , $28.50/ hr. programming costs,,"TPIA related fees are very specific and outlined in the statute. Changes to these fees require amendments to the law by the Texas Legislature.
",N,,N/A,6,3,, $28.50/ hr. programming costs, $28.50/ hr. programming costs,$0.00,0.00%,,,,,
Court Fee,Municipal Courts Department,Juvenile case manager fee [Tx CCP ? 102.0174(b)] ,"16-9(e)
", 5.00 ,$5.00,,"The Deparment will seek City Council approval to raise the fee collected from the current $3.00 to the proposed $5.00, which is permisable by statue.
*Max set at $5.00 in 2005",N,N,N/A,6,3,,$5.00,5.0000,$0.00,0.00%,,,,,
Court Fee,Municipal Courts Department,Security fee [Tx CCP ? 102.017] Government Code 102.120,"16-10(a)
", 3.00 ,$3.00,,"The request to increase the fee collected in the Building Security Fund  from the current $3 to the proposed $4 was not approved by the Legislature this past session. The FY 2012 amount collected for each paid citation remains the same.
*Max set at $3.00 (CCP 102.017)",N,N,N/A,6,3,,$3.00,3.0000,$0.00,0.00%,,,,,
Court Fee,Municipal Courts Department,Technology fee [Tx CCP ? 102.017] and Government Code 102.121,"16-13(a)
***
Code of Criminal Procedure 102.0172          and          Government Code        102.121", 4.00 ,$4.00,,"The request to increase the fee collected in the Technology Fund  from the current $4 to the proposed $5 was not approved by the Legislature this past session. The FY 2012 amount collected for each paid citation remains the same.
*Max set at $4.00 (CCP 102.121)",N,N,N/A,6,3,,$4.00,4.0000,$0.00,0.00%,,,,,
Data Report Subscription Fee (Support),Municipal Courts Department,DATA Reporting Fees,N/A," $29.25
(daily)   ","$29.25
(daily)  ",,"The Department recommends this  increase in fees to offset the cost to provide this service. This fee is discretionary and the fee charged can be adjusted by the Presiding Judge as required. New proposed fee $35 (daily) $50(weekly) $85(monthly).
",N,,N/A,5,6,,"$29.25
(daily)  ","$29.25
(daily)  ",$0.00,0.00%,,,,,
Data Report Subscription Fee (Support),Municipal Courts Department,DATA Reporting Fees,N/A, $46.25 (weekly)   ,$43.25 (weekly)  ,,"The Department recommends this  increase in fees to offset the cost to provide this service.             This fee is discretionary and the fee charged can be adjusted by the Presiding Judge as required. New proposed fee $35 (daily) $50(weekly) $85(monthly).
",N,,N/A,5,6,,$46.25 (weekly)  ,$46.25 (weekly)  ,$0.00,0.00%,,,,,
Data Report Subscription Fee (Support),Municipal Courts Department,DATA Reporting Fees,N/A,   $79.25/ monthly ,  $79.25/ monthly,,"The Department recommends this  increase in fees to offset the cost to provide this service.             This fee is discretionary and the fee charged can be adjusted by the Presiding Judge as required. New proposed fee $35 (daily) $50(weekly) $85(monthly).
",N,,N/A,5,6,,  $79.25/ monthly,  $79.25/ monthly,$0.00,0.00%,,,,,
Lost or Stolen Property,Municipal Courts Department,"Petition for disposition of property of undetermined ownership, filing fee",34-174(e), 10.32 ,$10.00,,,Y,,,6,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Notary Fee (Support),Municipal Courts Department,Notary fee associated with Court documents including Driving Safety Course (DSC) Completions.,Texas Government Code  Chapter 406 (406.024), 2.06 ,$2.00,,"Current fee to be increased to $5.00. Revenue Generated based on approx. 61K certifications per fiscal year.
",N,,N/A,5,3,,$6.00,6.0000,$3.94,191.26%,,,,,
Online Payment Fee (Support),Municipal Courts Department,Convenience fee for making an on-line payment for a citation as per contract with outside vendor.,, 5.00 ,$5.00,," The credit card fees for online payments will be covered by the vendor. Estimated savings in FY 13 $132,000.
",N,,N/A,6,2,,$5.00,5.0000,$0.00,0.00%,,,,,
Parking Appeal Fee (Support),Municipal Courts Department,Appeal filing fee for parking citation,"16-67
***
Texas Transportation Code Section 682.011"," $15.00
per citation ","$15.00
per citation",,"City Council recently approved the increase to the Parking citations.
Increased by Ord. No. 2011-654 (Effective 08/03/2011)",,,,5,5,,"$15.00
per citation","$15.00
per citation",$0.00,0.00%,,,,,
Adaptive Recreation,Parks and Recreation,Activity Rooms (each additional Hour or Fraction Commercial) ,32-69(a), 20.64 ,$20.00,,,Y,,1-Jan,6,1,,$21.13,21.1397,$0.49,2.37%,,,,,
Adaptive Recreation,Parks and Recreation,Activity Rooms (each additional Hour or Fraction Non- Profit) ,32-69(a), 15.48 ,$15.00,,,Y,,1-Jan,6,1,,$15.85,15.8548,$0.37,2.39%,,,,,
Adaptive Recreation,Parks and Recreation,Activity Rooms- First 3 Hours (Out after 7:00 pm Commercial),32-69(a), 113.55 ,$110.00,,,Y,,1-Jan,6,1,,$116.29,116.2994,$2.74,2.41%,,,,,
Adaptive Recreation,Parks and Recreation,Activity Rooms- First 3 Hours (Out after 7:00 pm Non- Profit),32-69(a), 72.26 ,$70.00,,,Y,,1-Jan,6,1,,$74.00,74.0097,$1.74,2.41%,,,,,
Adaptive Recreation,Parks and Recreation,Activity Rooms- First 3 Hours (Out by 7:00 pm Commercial),32-69(a), 98.06 ,$95.00,,,Y,,1-Jan,6,1,,$100.43,100.4344,$2.37,2.42%,,,,,
Adaptive Recreation,Parks and Recreation,Activity Rooms- First 3 Hours (Out by 7:00 pm Non- Profit),32-69(a), 56.77 ,$55.00,,,Y,,1-Jan,6,1,,$58.14,58.1446,$1.37,2.41%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium First 3 Hours (assembly requiring set up - out after 7:00 pm Commercial) ,32-69(a), 165.16 ,$160.00,,,Y,,1-Jan,6,1,,$169.15,169.1591,$3.99,2.42%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium First 3 Hours (assembly requiring set up - out after 7:00 pm Non- Profit) ,32-69(a), 134.19 ,$130.00,,,Y,,1-Jan,6,1,,$137.43,137.4392,$3.24,2.41%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium First 3 Hours (assembly requiring set up - out by 7:00 pm Commercial) ,32-69(a), 149.68 ,$145.00,,,Y,,1-Jan,6,1,,$153.30,153.3043,$3.62,2.42%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium First 3 Hours (assembly requiring set up - out by 7:00 pm Non- Profit) ,32-69(a), 108.39 ,$105.00,,,Y,,1-Jan,6,1,,$111.01,111.0145,$2.62,2.42%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium First 3 Hours (each additional Hour or Fraction Commercial) ,32-69(a), $30.96/hr. ,$30/hr.,,,Y,,1-Jan,6,1,,$31.70/hr.,#VALUE!,$0.96,3.20%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium First 3 Hours (each additional Hour or Fraction Non- Profit) ,32-69(a), $25.80/hr. ,$25/hr.,,,Y,,1-Jan,6,1,,$26.42/hr.,#VALUE!,$0.80,3.20%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium Sports Event (Out by 7:00 pm Commercial),32-69(a), $24.77/hr. ,$24/hr.,,,Y,,1-Jan,6,1,,$25.36/hr.,#VALUE!,$0.77,3.21%,,,,,
Adaptive Recreation,Parks and Recreation,Gymnasium Sports Event (Out by 7:00 pm Non- Profit),32-69(a), $24.77/hr. ,$24/hr.,,,Y,,1-Jan,6,1,,$25.36/hr.,#VALUE!,$0.77,3.21%,,,,,
Adult Sports,Parks and Recreation,Basketball League,32-69(a), 330.33 ,$320.00,,,Y,,1-Jan,6,1,,$338.32,338.3286,$7.99,2.42%,,,,,
Adult Sports,Parks and Recreation,Flag Football League,32-69(a), 340.65 ,$330.00,,,Y,,1-Jan,6,1,,$348.89,348.8984,$8.24,2.42%,,,,,
Adult Sports,Parks and Recreation,Kickball League,32-69(a), 185.81 ,$180.00,,,Y,,1-Jan,6,1,,$190.30,190.3092,$4.49,2.42%,,,,,
Adult Sports,Parks and Recreation,Softball League (varies depending on ballfield),32-69(a), $258.07 - $309.69 ,$250.00-$300.00,,,Y,,1-Jan,6,1,,$264.31 - $317.18,#VALUE!,8.07 - 9.69,3.23%,,,,,
Adult Sports,Parks and Recreation,Volleyball League,32-69(a), 185.81 ,$180.00,,,Y,,1-Jan,6,1,,$190.30,190.3092,$4.49,2.42%,,,,,
Brock Golf,Parks and Recreation,Friday - Sunday & Holidays,Motion 2010-0385, 23.00 ,$23.00,,,N,,1-Jan,6,4,,$23.00,23.0000,$0.00,0.00%,,,,,
Brock Golf,Parks and Recreation,Fri-Sun & Holiday Twilight,Motion 2010-0385, 17.00 ,$17.00,,,N,,1-Jan,6,4,,$17.00,17.0000,$0.00,0.00%,,,,,
Brock Golf,Parks and Recreation,Fri-Sun & Holiday Twilight 2,Motion 2010-0385, 13.00 ,$13.00,,,N,,1-Jan,6,4,,$13.00,13.0000,$0.00,0.00%,,,,,
Brock Golf,Parks and Recreation,Junior (Mon.-Thu Only),Motion 2010-0385, 7.00 ,$7.00,,,N,,1-Jan,6,4,,$7.00,7.0000,$0.00,0.00%,,,,,
Brock Golf,Parks and Recreation,Monday - Thursday,Motion 2010-0385, 16.00 ,$16.00,,,N,,1-Jan,6,4,,$16.00,16.0000,$0.00,0.00%,,,,,
Brock Golf,Parks and Recreation,Monday-Thursday Twilight,Motion 2010-0385, 13.00 ,$13.00,,,N,,1-Jan,6,4,,$13.00,13.0000,$0.00,0.00%,,,,,
Brock Golf,Parks and Recreation,Monday-Thursday Twilight 2,Motion 2010-0385, 10.00 ,$10.00,,,N,,1-Jan,6,4,,$10.00,10.0000,$0.00,0.00%,,,,,
Brock Golf,Parks and Recreation,Senior/Disabled (Mon-Thu),Motion 2010-0385, 10.00 ,$10.00,,,N,,1-Jan,6,4,,$10.00,10.0000,$0.00,0.00%,,,,,
Community Center Facilities,Parks and Recreation,Building Clean Up,32-69(a), 36.13 ,$35.00,,,Y,,1-Jan,6,1,,$37.00,37.0048,$0.87,2.41%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Double Court #1 (1 side),32-69(a), $12.38/per half hr. ,$12/per half hr.,,,Y,,1-Jan,6,1,,$12.67/per half hr.,#VALUE!,$0.38,3.17%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Double Court #1 (1 side),32-69(a), $24.77/per hr. ,$24/per hr.,,,Y,,1-Jan,6,1,,$25.36/per hr.,#VALUE!,$0.77,3.21%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Double Court #2 (1 side),32-69(a), $12.38/per half hr. ,$12/per half hr.,,,Y,,1-Jan,6,1,,$12.67/per half hr.,#VALUE!,$0.38,3.17%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Double Court #2 (1 side),32-69(a), $24.77/per hr. ,$24/per hr.,,,Y,,1-Jan,6,1,,$25.36/per hr.,#VALUE!,$0.77,3.21%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Double Court (both courts),32-69(a), $20.64/per half hr. ,$20/per half hr.,,,Y,,1-Jan,6,1,,$21.13/per half hr.,#VALUE!,$0.64,3.20%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Double Court (both courts),32-69(a), $41.29/per hr. ,$40/per hr.,,,Y,,1-Jan,6,1,,$42.28/per hr.,#VALUE!,$1.29,3.23%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Regulation,32-69(a), $12.38/per half hr. ,$12/per half hr.,,,Y,,1-Jan,6,1,,$12.67/per half hr.,#VALUE!,$0.38,3.17%,,,,,
Community Center Facilities,Parks and Recreation,Gymnasium Standard,32-69(a), $8.25/per half hr. ,$8/per half hr.,,,Y,,1-Jan,6,1,,$8.44/per half hr.,#VALUE!,$0.25,3.13%,,,,,
Community Center Facilities,Parks and Recreation,Judson Robinson Jr. Center (monthly weightroom membership),32-69(a), 20.64 , $20.00 ,,,,,,6,1,,$21.13,21.1397,$0.49,2.37%,,,,,
Community Center Facilities,Parks and Recreation,Judson Robinson Jr. Center (racquetball fees),32-69(a), $1.59/per half hr. , $3/per half hr. ,,,,,,6,1,,$1.62/per half hr.,#VALUE!,$0.09,3.00%,,,,,
Community Center Facilities,Parks and Recreation,Judson Robinson Jr. Center (racquetball fees),32-69(a), $3.19/per hr. , $6/per hr. ,,,,,,6,1,,$3.26/per hr.,#VALUE!,$0.19,3.17%,,,,,
Community Center Facilities,Parks and Recreation,Kitchen,32-69(a), 10.32 ,$10.00,,,Y,,1-Jan,6,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Community Center Facilities,Parks and Recreation,Memorial Fitness Center (Daily membership),32-69(a), 1.80 ,$1.75,,,Y,,1-Jan,6,1,,$1.84,1.8435,$0.04,2.22%,,,,,
Community Center Facilities,Parks and Recreation,Memorial Fitness Center (Locker rental),32-69(a), 0.51 ,$0.50,,,Y,,1-Jan,6,1,,$0.52,0.5223,$0.01,1.96%,,,,,
Community Center Facilities,Parks and Recreation,Memorial Fitness Center (monthly membership),32-69(a), 20.64 ,$20.00,,,Y,,1-Jan,6,1,,$21.13,21.1397,$0.49,2.37%,,,,,
Community Center Facilities,Parks and Recreation,Memorial Fitness Center (Shower rental),32-69(a), 0.77 ,$0.75,,,Y,,1-Jan,6,1,,$0.78,0.7886,$0.01,1.30%,,,,,
Community Center Facilities,Parks and Recreation,Memorial Fitness Center (Towel rental),32-69(a), 0.51 ,$0.50,,,Y,,1-Jan,6,1,,$0.52,0.5223,$0.01,1.96%,,,,,
Community Center Facilities,Parks and Recreation,Room Clean Up,32-69(a), 15.48 ,$15.00,,,Y,,1-Jan,6,1,,$15.85,15.8548,$0.37,2.39%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Building Rental (each additional Hour or Fraction Commercial),32-69(a), 25.80 ,$25.00,,,Y,,1-Jan,6,1,,$26.42,26.4247,$0.62,2.40%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Building Rental (each additional Hour or Fraction Non-Profit),32-69(a), 20.64 ,$20.00,,,Y,,1-Jan,6,1,,$21.13,21.1397,$0.49,2.37%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Building Rental (Out after 7:00 pm Commercial),32-69(a), 139.36 ,$135.00,,,Y,,1-Jan,6,1,,$142.73,142.7344,$3.37,2.42%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Building Rental (Out after 7:00 pm Non- Profit),32-69(a), 98.06 ,$95.00,,,Y,,1-Jan,6,1,,$100.43,100.4344,$2.37,2.42%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Building Rental (Out by 7:00 pm Commercial),32-69(a), 123.87 ,$120.00,,,Y,,1-Jan,6,1,,$126.86,126.8693,$2.99,2.41%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Building Rental (Out by 7:00 pm Non- Profit),32-69(a), 82.58 ,$80.00,,,Y,,1-Jan,6,1,,$84.57,84.5795,$1.99,2.41%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Club House Garden Villas (each additional Hour or Fraction Commercial),32-69(a), 15.48 ,$15.00,,,Y,,1-Jan,6,1,,$15.85,15.8548,$0.37,2.39%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Club House Garden Villas (each additional Hour or Fraction Non- Profit),32-69(a), 10.32 ,$10.00,,,Y,,1-Jan,6,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Club House Garden Villas (Out after 7:00 pm Commercial),32-69(a), 108.39 ,$105.00,,,Y,,1-Jan,6,1,,$111.01,111.0145,$2.62,2.42%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Club House Garden Villas (Out after 7:00 pm Non- Profit),32-69(a), 67.09 ,$65.00,,,Y,,1-Jan,6,1,,$68.71,68.7145,$1.62,2.41%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Club House Garden Villas (Out by 7:00 pm Commercial),32-69(a), 92.90 ,$90.00,,,Y,,1-Jan,6,1,,$95.14,95.1494,$2.24,2.41%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Club House Garden Villas (Out by 7:00 pm Non- Profit),32-69(a), 51.61 ,$50.00,,,Y,,1-Jan,6,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Community Center Level 1 Facilities,Parks and Recreation,Club House Mason (each additional Hour or Fraction Commercial),32-69(a), 20.64 ,$20.00,,,Y,,1-Jan,6,1,,$21.13,21.1397,$0.49,2.37%,,,,,
